Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
Cicah Reraya,media/gayolues/reraya.png,Source: Sinta Listiyana (2021),https://www.idntimes.com/food/dining-guide/sinta-listiyana-2/5-kuliner-khas-gayo-lues-c1c2?page=all,"Cicah merupakan sebutan bagi bahan makanan yang dipotong-potong hingga bentuknya tidak beraturan dan berupa potongan kecil, atau cincang dalam bahasa Indonesia. Masyarakat Gayo Lues biasanya menyajikan cicah reraya atau yang dikenal juga dengan nama cicah kekulit sebagai menu sahur saat bulan Ramadhan dan dihidangkan untuk tamu saat hari raya Idul Fitri. Cicah Reraya merupakan hidangan khas Suku Gayo yang terbuat dari kulit kerbau atau lembu yang sudah dibakar dan dibersihkan bersama perasan pati pohon uang atau pohon hutan khas Gayo yang rasanya kelat. <br><br>Bahan utama membuat cicah reraya adalah, 100 gr daging kerbau/sapi, 100 gr hati kerbau/sapi, 100 gr jantung kerbau/sapi, 100 gr kulit kerbau/sapi, 1sdm garam, 2 lembar daun salam, 1 batang sereh, 1 ruas jahe digeprek, kelapa perut yang sudah disangrai, kulit kayu uweng secukupnya dan air secukupnya. <br>Serta bahan bumbu halusnya antara lain, 5 buah cabe merah, 1 sdt merica, 1 ruas lengkuas, 8 siung bawang merah, 5 siung bawang putih, 3 buah asam sunti, 2 sdm air asam jawa, 1 sdm ketumbar, gula dan garam secukupnya. <br><br>Adapun cara pengolahannya adalah sebagai berikut: <br>1. Rebus bahan utama dengan garam, daun salam, sereh dan jahe hingga lunak. Setelah matang potong kecil-kecil seluruh bahan utama. <br>2. Ambil wadah. Campurkan daging yang sudah dipotong-potong tadi dengan bumbu halus. <br>3. Kulit kayu wing diparut hingga halus dan diperas. air perasanya ditambahkan kedalam daging yang sudah dibumbui tadi. <br>4. Masukkan kelapa sangrai, aduk hingga rata. <br>5. Cicah reraya Siap untuk disajikan. <br><br>Tidak ada yang menjual secara khusus makanan ini, terkecuali ada yang memesan, karena hampir setiap ibu rumah tangga pandai memasaknya. Selain rumah-rumah penduduk, makanan ini mudah dijumpai di <a href='https://goo.gl/maps/634iHZaE8Nf3bQFMA' target='_blank'>Pasar Pagi Tradisional</a> di Desa Kuta Lintang, Kecamatan Blangkejeren, Kabupaten Gayo Lues, Aceh, Indonesia.",16,Plain,red,"Desa Kuta Lintang, Kecamatan Blangkejeren, Kabupaten Gayo Lues, Aceh, Indonesia.","4,00352012","97,3432845",,,,
Cicah Anggur,media/gayolues/anggur.png,Source: Aan (2020),https://atjehwatch.com/2020/05/29/berwisata-di-kota-dingin-takengon-aceh-belum-lengkap-santap-kuliner-nya-yang-yummi/,"Terong Belanda yang biasanya dibuat jus minuman ternyata bisa juga dimasak menjadi masakan yang enak, seperti cicah anggur. Cicah Angur adalah sejenis sambal khas Gayo yang berbahan dasar terong Belanda dan dipadukan dengan ikan depik gongseng kering. Memiliki rasa yang asam segar dan pedas membuat makanan ini cocok dinikmati saat berladang dan melepas penat. <br><br>Adapun bahan-bahan yang diperlukan antara lain, 4 buah terong Belanda, 1 genggam ikan depik kering, 5 buah cabe merah, 2 buah cabe rawit, 3 buah bawang merah, 1 sdm perasan jeruk nipis, 1 sdt terasi bakar, gula dan garam secukupnya. <br><br>Adapun pengolahan makanan ini terbilang mudah, yaitu: <br>Kupas terong Belanda dari kulitnya, sisihkan dan buang bijinya. Haluskan semua bahan. Campurkan dan sajikan bersama ikan depik kering yang sudah di gongseng. <br><br>Tidak ada yang menjual secara khusus makanan ini, terkecuali ada yang memesan, karena hampir setiap ibu rumah tangga pandai memasaknya. Selain rumah-rumah penduduk, makanan ini mudah dijumpai di <a href='https://goo.gl/maps/H3UcVj8qaTojsxPBA' target='_blank'>Pasar Centong Atas</a> di Desa Durin, Kecamatan Blangkejeren, Kabupaten Gayo Lues, Aceh, Indonesia.",16,Plain,red,"Desa Durin, Kecamatan Blangkejeren, Kabupaten Gayo Lues, Aceh, Indonesia.","3,9959353","97,3428979",,,,
Gutel,media/gayolues/gutel.PNG,Screenshot of linked Google Maps,https://goo.gl/maps/WoKrzhD3Sw6r1K6c8,"Gutel merupakan panganan khas Suku Gayo. Menurut sejarah, gutel tercipta karena suku Gayo butuh makanan yang sederhana, mengenyangkan, dan bisa dibawa ke mana-mana. Mereka pun kemudian mengolah tepung beras yang ditumbuk lesung untuk dimasak dengan campuran garam dan parutan kelapa, sehingga makanan ini terasa lebih gurih. Makanan ini memiliki daya tahan lama sehingga sering dibawa oleh suku Gayo ke kebun atau bepergian ke luar hutan. <br><br>Adapun bahan utama yang perlu disiapkan adalah, ½ kg tepung terigu, 1 butir kelapa parut, gula pasir secukupnya, garam secukupnya, air matang dan daun pandan. <br><br>Adapun cara pengolahannya adalah: <br>1. Campurkan tepung terigu, gula, garam, dan kelapa. Aduk hingga tercampur rata. <br>2. Tambahkan air sedikit demi sedikit hingga adonan sudah bisa dikepalkan dengan telapak tangan. <br>3. Kepal-kepal adonan seukuran kepalan telapak tangan hingga adonan habis. <br>4. Setelah adonan habis, gulung gutel dengan daun pandan, 2 gutel dalam satu helai daun pandan, lakukan sampai gutel habis. <br>5. Kukus gutel selama 30 menit. Setelah matang angkat dan sajikan. <br><br>Gutel ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/ogeSq8tcJfCF9vkL9' target='_blank'>Kantin Kak Yastin</a> di Desa Porang Ayu, Kecamatan Blangpegayon, Kabupaten Gayo Lues, Aceh, Indonesia.",16,Plain,purple,"Desa Porang Ayu, Kecamatan Blangpegayon, Kabupaten Gayo Lues, Aceh, Indonesia.","3,99245761","97,3212458",,,,
Aceh Utara,,,,"Aceh Utara merupakan kabupaten dengan keunggulan reputasi sebagai kawasan industri terbesar di provinsi maupun di luar pulau Jawa. Sebagai daerah Tingkat II yang paling potensial seprovinsi, Kabupaten Aceh Utara memiliki pangan kuliner dan penghasilan beras yang tinggi. <br><br>Berikut ini ditampilkan kuliner tradisional khas Kabupaten Aceh Utara.",10,Hidden,,Aceh Utara,"5,01821112","97,219297",,,,
Tumeh Eungkot Muloh,media/acehutara/ungkotmuloh.png,Source: Zulfah (2018),https://steemit.com/tumeh/@zulfah/kuliner-khas-aceh-utara-e2756c76d6f45,"Tumeh Eungkot Muloh atau tumis ikan bandeng merupakan makanan khas Aceh Utara dan sekitarnya. Ikan bandeng memiliki arti sebagai kemakmuran atau rezeki, maka tak heran kalau kuliner ini menjadi menu utama apabila di daerah itu ada pesta perkawinan maupun acara adat lainnya. Walaupun namanya tumis ikan bandeng bukan berarti kuliner ini ditumis melainkan kuliner ini berkuah kenan walaupun tidak memakai santan. <br><br>Adapun bahan utama yang perlu disiapkan adalah, 1000 gram ikan tongkol dipotong-potong, 2 ½ sdt garam, 2 sdt air jeruk nipis, 8 butir bawang merah diiris halus, 5 buah cabai hijau keriting dibelah dua, 3 tangkai daun temurui, 3 buah belimbing wuluh dipotong-potong, 800 ml air dan 2 sdm minyak makan. <br>Serta bahan untuk bumbu halus yang perlu disiapkan adalah, 1 sdm ketumbar, 1 sdt adas manis, ½ sdt merica, 2 cm kunyit dibakar, 2 cm jahe, 5 buah cabai rawit merah, 5 buah cabai merah besar, 20 buah asam sunti dan 3 siung bawang putih. <br><br>Adapun cara pengolahannya adalah sebagai berikut: <br>1. Ikan bandeng dicuci bersih dan tiriskan. <br>2. Lumuri ikan bandeng dengan garam dan air jeruk nipis. Diamkan 15 menit. <br>3. Panaskan minyak. Tumis bawang merah, cabai hijau keriting, dan bumbu halus sampai harum. <br>4. Masukkan ikan bandeng, aduk rata. Tambahkan daun temurui, aduk kembali. <br>5. Masukkan air secukupnya, koreksi rasa. <br>6. Tambahkan belimbing wuluh, aduk rata. Masak sampai matang. Sajikan. <br><br>Tumeh Eungkot Muloh ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/E6onj7khLA1AbhK7A' target='_blank'>RM. Selera Kita</a> di Desa Keude Geudong, Kecamatan Samudera, Kabupaten Aceh Utara, Aceh, Indonesia.",16,Plain,red,"Desa Keude Geudong, Kecamatan Samudera, Kabupaten Aceh Utara, Aceh, Indonesia.","5,11799422","97,2085068",,,,
Tumeh Eungkot Sure,media/acehutara/ungkotsure.png,Source: Cookped (2016),https://cookpad.com/id/resep/957749-tumis-ikan-tongkol,"Tumeh Eungkot Sure atau tumis ikan tongkol merupakan makanan khas Lhoksukon, Kabupaten Aceh Utara dan sekitarnya. Sama halnya seperti tumeh eungkot muloh, tumeh eungkot sure ini sering disajikan menjadi menu sehari-hari maupun acara-acara adat. Kuliner ini bercita rasa gurih dan tidak terlalu pedas. <br><br>Adapun bahan yang perlu disiapkan adalah, 1 ekor ikan tongkol (kira-kira 1 kg), jeruk nipis, garam, gula ketumbar bubuk dan merica secukupnya, 1 ruas jari kunyit, 4 lembar daun jeruk, 2 lembar daun salam, 3 lembar daun temurui, 6 buah cabe merah, 4 buah cabe hijau, 6 siung bawang merah, 3 siung bawah putih, bawang bombay, 5 asam sunti atau 2-3 tomat. <br><br>Adapun cara pengolahannya adalah sebagai berikut: <br>1. Ikan tongkol dicuci bersih dan tiriskan. <br>2. Lumuri ikan tongkol dengan garam dan air jeruk nipis. Diamkan 20 menit. <br>3. Haluskan kunyit, bawang merah, bawang putih, cabe merah, asam sunti ataupun tomat. <br>4. Panaskan minyak. Tumis irisan bawang bombay hingga harum. <br>5. Masukkan bumbu yang sudah dihaluskan, masukkan daun jeruk, daun temurui dan daun salam, lalu aduk dan tumis hingga harum. <br>6. Masukkan ikan yang telah dilumuri garam dan perasan air jeruk nipis. Tambahkan air setengah gelas. <br>7. Setelah bumbu meresap sempurna pada ikan, tambahkan air lagi dan masukkan cabai hijau utuh, garam, gula, merica, ketumbar. Tunggu hingga ikan matang lalu angkat dan sajikan. <br><br>Tumeh Eungkot Sure ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/2Stfwg7ba3QUH5ne7' target='_blank'>RM. Sejahtera</a> di Jl. Medan-B. Aceh, Desa Alue Meudem, Kecamatan Lhoksukon, Kabupaten Aceh Utara, Aceh, Indonesia.",16,Plain,red,"Jl. Medan-B. Aceh, Desa Alue Meudem, Kecamatan Lhoksukon, Kabupaten Aceh Utara, Aceh, Indonesia.","5,07017511","97,3077335",,,,
Eungkot Tangiro Asam Keueng,media/acehutara/ungkottangiro.png,Source: Fitri Puspita Sari (2019),https://cookpad.com/id/resep/10934886-asam-keueng-aceh,"Eungkot Tangiro Asam Keueng atau ikan tenggiri asam pedas merupakan makanan khas Aceh Utara. Makanan ini sering disajikan menjadi menu sehari-hari dan memiliki rasa yang khas. Eungkot tangiro asam keueng sama saja seperi masakan asam keueng lainnya, hanya saja masakan ini menggunakan ikan tenggiri sebagai bahan utamanya. <br><br>Adapun bahan utama yang perlu disiapkan adalah, ½ kg ikan tenggiri, 2 buah air jeruk nipis, 3 buah cabe hijau dipatah-patahkan, daun temurui, kunyit bubuk dan garam secukupnya. <br>Serta bahan untuk bumbu halus yang perlu disiapkan adalah, 2 siung bawang merah, 1 siung bawang putih, 10 buah cabe rawit, 2 buah cabe merah, 1 sdt ketumbar, ½ sdt merica dan 5 buah asam sunti. <br><br>Adapun cara pengolahannya adalah sebagai berikut: <br>1. Pertama cuci bersih ikannya, kemudian lumuri dengan sejumput garam dan tambahkan perasan air jeruk, lalu diamkan selama beberapa menit. <br>2. Haluskan semua bahan bumbu halus dan tumis hingga harum. <br>3. Masukkan ikan dan daun tumurui, aduk rata. <br>3. Tambahkan sedikit air, masukkan cabe hijau dan kunyit bubuk. <br>4. Masak hingga mendidih lalu tambahkan garam dan koreksi rasa. <br>5. Jika sudah matang, sajikan dengan nasi putih. <br><br>Eungkot Tangiro Asam Keueng bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/Tj7PhRtS7osbieZs6' target='_blank'>RM. Aceh Utara</a> di Jl. Medan-Banda Aceh, Keude Alue Ie Puteh, Kecamatan Baktiya, Kabupaten Aceh Utara, Aceh, Indonesia.",16,Plain,red,"Jl. Medan-Banda Aceh, Keude Alue Ie Puteh, Kecamatan Baktiya, Kabupaten Aceh Utara, Aceh, Indonesia.","5,13337826","97,4084474",,,,
Mie Udeueng Wat,media/acehutara/mieudeungwat.png,Source: Taufik Ar Rifai (2020),https://aceh.tribunnews.com/2020/07/08/lezatnya-mie-udeueng-wat-khas-meunasah-geudong-kuliner-aceh-perpaduan-cina-dan-india?page=all,"Mie Udeueng Wat merupakan kuliner khas Meunasah Geudong, Kecamatan Tanah Jambo Aye, Kabupaten Aceh Utara. Udeueng wat dalam bahasa Aceh berarti udang windu (giant tiger). Kuliner ini menyajikan udang yang masih segar, selain dimasak dengan mie Aceh, ludah windu ini juga bisa dinikmati menjadi udang goreng spesial. Udang bernilai ekspor tinggi sangat mudah didapati tak jauh dari tambak warga. <br><br>Adapun bahan utama yang perlu disiapkan adalah, 250 gram mie kuning basah, 150 gram udang windu, segenggam tauge, 1 batang seledri iris halus, 1 batang daun bawang prei iris halus, merica, garam, kaldu jamur, 1 sdt kaldu ayam, 2 sdm kecap manis, 1 butir telur ayam kocok lepas dan air secukupnya. <br>Serta bahan untuk bumbu halus yang perlu disiapkan adalah, 7 buah cabe merah keriting, 7 buah rawit merah, 5 siung bawang merah, 4 siung bawang putih, 1 ruas jari kunyit bakar, 2 butir kapulaga, 1 butir bunga lawang, ¼ sdt jinten, sejumput adas dan 2 butir cengkeh. <br><br>Adapun cara pengolahannya adalah sebagai berikut: <br>1. Bersihkan udang dari kepala dan kulitnya, cuci bersih dan tiriskan. <br>2. Tumis bumbu halus hingga wangi, tambahkan udang, tumis sebentar, lalu tambahkan telor ayam, aduk rata. <br>3. Tambahkan tauge, masak sebentar, tambahkan sedikit air. lalu masukkan mie basah, aduk rata. <br>4. Tambahkan kaldu ayam, kaldu jamur, garam dan merica bubuk, aduk rata. Masukkan kecap manis, aduk rata. <br>5. Terakhir masukkan seledri dan bawang prei yang sudah diiris, masak hingga bumbu meresap. <br>6. Sajikan dengan emping, acar bawang, potongan timun dan tomat. <br><br>Mie Udeueng Wat ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/SfYXPaqoJYaCG7oY6' target='_blank'>Warung Jamal Pinto Ie</a> di Jl. Jambo Aye Utara, Meunasah Geudong, Kecamatan Tanah Jambo Aye, Kabupaten Aceh Utara, Aceh, Indonesia.",16,Plain,red,"Jl. Jambo Aye Utara, Meunasah Geudong, Kecamatan Tanah Jambo Aye, Kabupaten Aceh Utara, Aceh, Indonesia.","5,18483471","97,4803252",,,,
Martabak Durian,media/acehutara/martabakdurian.png,Screenshot of linked Google Maps,https://goo.gl/maps/BB6zTo9eW3iU8aFz8,"Martabak Durian merupakan kuliner yang sudah cukup terkenal di Samudera, Aceh Utara. Harga yang cukup murah untuk tekstur martabak yang lembut dan rasa yang renyah menjadikannya sangat lezat ketika dimakan. Produksi buah durian yang melimpah, menjadi inspirasi bagi pengusaha kuliner di Serambi Mekah untuk berinovasi. Salah satunya dengan membuat martabak durian. Ada martabak manis, juga martabak asin. Kandungan gula dalam durian tergolong tinggi, namun durian juga mengandung vitamin A dan C, natrium, asam folat dan lain sebagainya. <br><br>Adapun bahan utama yang perlu disiapkan adalah, 250 gr terigu segitiga biru, 50 gr terigu cakra kembar, ½ sdt instan yeast, 4 butir telur, 2 gr garam, 350 cc air, 5 gr soda kue dan durian. <br>Serta bahan isiannya yang perlu disiapkan adalah, margarin, susu kenal manis putih, gula pasir, varian rasa lainnya (seperti cokelat, keju, dan lain-lain). <br><br>Adapun cara pengolahannya adalah sebagai berikut: <br>1. Campur kedua jenis tepung terigu dan instan yeast, tuang air sedikit demi sedikit sampai kalis. Diamkan 30 menit. <br>2. Tambahkan telur, soda kue, tambahkan durian sesuai selera. <br>3. Panaskan cetakan anti lengket, tuangkan adonan dan biarkan sampai permukaan martabak berlubang. <br>4. Taburi dengan gula pasir, susu kental manis, tutup dan biarkan sampai matang. <br>5. Angkat, oleskan margarin dan beri varian isi lainnya sesuai selera. <br><br>Martabak Durian ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/7uaUNniWF7B9Kvmw5' target='_blank'>Samudera Pase Martabak Durian</a> di Jl. Medan-Banda Aceh No.1, Keude Geudong, Kecamatan Samudera, Kabupaten Aceh Utara, Aceh, Indonesia.",16,Plain,purple,"Jl. Medan-Banda Aceh No.1, Keude Geudong, Kecamatan Samudera, Kabupaten Aceh Utara, Aceh, Indonesia.","5,11776548","97,208358",,,,
Rujak Malikussaleh,media/acehutara/rujakmalikussaleh.png,Source: Bakata net (2019),https://bakata.net/2019/04/20/bumbu-eksotik-rujak-aceh-rumbiah-dan-batok/,"Rujak Malikussaleh merupakan rujak khas Bungkaih, Kecamatan Muara Batu, Kabupaten Aceh Utara. Kuliner ini juga memiliki nama besar di Aceh Utara serta dikunjungi pelanggan dari berbagai kecamatan di sana. Rasanya yang khas, serta bumbu pilihan, membuat rujak malikussaleh tak pernah sepi dari pelanggan. <br><br>Adapun bahan-bahan yang diperlukan adalah sebagai berikut, mentimun 2 buah, bengkuang 1 buah, pisang mentah 1 ½ buah, nanas 1/2 buah, pepaya muda ¼ bagian, ketela 1 buah ukuran sedang, mangga 1 buah. <br>Untuk bumbunya, diperlukan bahan-bahan berikut, cabai rawit 5 biji atau atur sesuai level pedas yang diinginkan, garam secukupnya, kacang tanah sangrai secukupnya, gula aren secukupnya, asam jawa 1 biji dan kecap asin 2 sdm. <br><br>Adapun cara pengolahannya yaitu: <br>1. Kupas semua buah, lalu cuci bersih. Tiriskan. Kemudian potong dadu dan dicincang kecil. <br>2. Masukkan ke dalam cobek / ulekan, lalu ditambahkan dengan campuran gula jawa, sedikit kecap asin, kacang tanah gongseng, garam, gula aren, dan cabe rawit. <br>3. Semua bahan diulek hingga merata, lalu siap dihidangkan. <br><br>Kuliner ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/ydoeAsjGgGF75Cjy9' target='_blank'>Rujak Kak Lis</a> di Desa Keude Bungkaih, Kecamatan Muara Batu, Kabupaten Aceh Utara, Aceh, Indonesia.",16,Plain,purple,"Desa Keude Bungkaih, Kecamatan Muara Batu, Kabupaten Aceh Utara, Aceh, Indonesia.","5,25554873","96,9651661",,,,
Bireuen,,,,"Kabupaten Bireuen merupakan pemekaran dari Kabupaten Aceh Utara Tahun 1999. Kabupaten yang pernah ditetapkan sebagai ibukota Republik Indonesia kedua Tahun 1948 ini memungkinkan kemitraan lintas daerah dalam bentuk transaksi perdagangan, pariwisata, maupun jasa-jasa lainnya. <br><br>Berikut ini ditampilkan kuliner tradisional khas Kabupaten Bireuen.",10,Hidden,,Bireuen,"5,148623","96,6655851",,,,
Kanji Samalanga,media/bireuen/kanji.png,Source: Teuku Haris F (2022),https://rri.co.id/banda-aceh/kuliner/1480001/resep-bubur-kanji-samalanga-bireuen,"Kanji Samalanga merupakan salah satu jenis makanan khas Aceh dan menjadi hidangan utama bagi masyarakat di kawasan Samalanga, Bireun. Makanan ini biasanya disajikan saat berbuka puasa dan kenduri di hari hari besar Islam. Kuliner ini memiliki rasa yang gurih dan tekstur yang tidak kental seperti bubur kanji pada umumnya. Kuliner ini bermanfaat menghangatkan tubuh saat musim dingin, karena terbuat dari campuran rempah-rempah, beras dan sayur-sayuran. Tradisi memasak kanji di Samalanga dilakukan secara bergotong royong. Sistem kerja dan bahan-bahan yang diperlukan dikumpulkan secara bersama-sama oleh petuah gampong dari rumah-rumah penduduk ke meunasah atau balai desa. <br><br>Adapun bahan utama yang perlu disiapkan adalah, ¼ kg beras, 3 ons udang yang sudah dikupas kulitnya, 10 lembar daun temurui dan santan encer dari ½ butir kelapa. <br>Berikut bahan untuk bumbu halus yang perlu disiapkan adalah, 1 sdm ketumbar, 1 sdt merica, 1 sdt adas manis, 8 siung bawang merah, 4 siung bawang putih, ½ ruas jari jahe, ½ biji pala dan ½ ruas kunyit. <br>Serta bahan untuk bumbu tumis yang perlu disiapkan adalah, 2 siung bawang merah, 3 biji kapulaga, 1 batang sereh, 1 lembar daun pandan, 10 lembar daun temeurui, 1 ruas jari kayu manis, 5 biji cengkih dan 3 biji lawang. <br><br>Adapun cara pengolahannya adalah sebagai berikut: <br>1. Tumis semua bahan untuk tumisan hingga layu kecokelatan. <br>2. Setelah itu masukkan bumbu yang sudah dihaluskan, tumis hingga harum. <br>3. Kemudian masukkan beras yang sudah dicuci bersih, lalu diaduk sampai beras benar-benar mengembang. Masak dengan api kecil. <br>4. Jika beras sudah betul-betul kembang baru masukkan daun temurui dan santan encer, tunggu sampai santan mendidih. Sekitar 10 menit baru matikan apinya. <br>5. Kanji siap dihidangkan dengan taburan bawang goreng. <br><br>Kanji Samalanga ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/hK3deeb1hVUknvrW7' target='_blank'>Masjid Blanggarang Samalanga</a> di Jln. Kuta Blang, Desa Namploh Blang Garang, Kecamatan Samalanga, Kabupaten Bireuen, Aceh, Indonesia.",16,Plain,red,"Jln. Kuta Blang, Desa Namploh Blang Garang, Kecamatan Samalanga, Kabupaten Bireuen, Aceh, Indonesia.","5,20150657","96,3609342",,,,
Sate Matang,media/bireuen/satematang.png,Screenshot of linked Google Maps,https://goo.gl/maps/nC3zY3icG97tzTPD6,"Sate Matang merupakan kuliner khas Matang Geuleumpang Dua, Kabupaten Bireuen. Hidangan sate matang ini termasuk makanan malam karena kebanyakan masyarakat Aceh menjualnya di malam hari dan juga telah masuk kedalam daftar UNESCO sebagai kuliner warisan dunia. Sate matang awalnya mempunyai ciri khas dengan menggunakan daging kambing sebagai bahan utamanya, tetapi kuliner ini lebih populer dengan daging sapi. Sate matang ini disajikan dengan kuah kaldu kambing yang khas dengan taburan daun bawangnya di dalamnya dan kuah kacang yang dicampur dengan rempah-rempah, sehingga mengeluarkan aroma yang sangat khas. <br><br>Adapun bahan utama yang perlu disiapkan adalah, 500 gr daging kambing dipotong dadu 1.5 cm, 3 sdm minyak goreng, 1 batang serse digeprek, 3 sdm kecap manis, 2 sdm kecap asin, 2 sdm gula merah, 1 sdt garam dan100 ml air. <br>Berikut bahan untuk bumbu ungkep yang perlu disiapkan adalah, 7 buah cabai rawit merah, 5 butir bawang merah, 2 siung bawang putih, 2 butir kemiri, 2 cm jahe, 2 cm kunyit dan 2 cm lengkuas. <br>Adapun bahan yang perlu disiapkan untuk saus kacang adalah, 50 gr cabai bubuk, 3 sdm gula merah, 2 siung bawang putih, 1 sdm minyak goreng, 3 lembar daun jeruk, 2 lembar daun salam, 1 batang serai digeprek, 5 cm kayu manis, 150 g kacang tanah sangrai dan dicincang kasar, 350 ml santan, 1 sdt garam dan 3 sdm kecap manis. <br>Serta bahan yang perlu disiapkan untuk kuah sup adalah, 1 sdm minyak goreng, 3 cm kayu manis, 3 butir bawang merah iris, 2 siung bawang putih iris, 2 cm jahe digeprek, 2 cm lengkuas digeprek, 2 lembar daun salam, 2 lembar daun jeruk, 1 batang serai, 1½ sdt kapulaga, 1 sdt merica hitam bulat digiling, 1 sdt ketumbar bubuk, 1.5 L air kaldu sapi, 2 sdt garam, 1 sdt gula, 1 batang daun bawang iris dan 3 batang daun seledri iris. <br><br>Adapun cara pengolahannya adalah sebagai berikut: <br>1. Pembuatan saus kacang: Haluskan cabai bubuk, gula merah, dan bawang putih. Tumis bumbu halus dengan daun jeruk, daun salam, serai, dan kayu manis hingga harum. Masukkan kacang, aduk rata. Tuang santan dan garam. Masak sambil diaduk rata hingga mengental. Tambahkan kecap manis. Masak sampai matang. <br>2. Pembuatan sup: Panaskan minyak dalam panci. Tumis kayu manis, bawang merah, bawang putih, jahe, lengkuas, daun salam, daun jeruk, serai, kapulaga, merica hitam, dan ketumbar. Masak sambil diaduk rata hingga harum. Tuang kaldu, tambahkan garam dan gula. Masak sambil diaduk, didihkan. Masukkan daun bawang dan daun seledri, matikan api. Sisihkan. <br>3. Pembuatan bumbu ungkep: Panaskan minyak dalam wajan. Tumis bumbu ungkep dan serai hingga harum. Masukkan daging, kecap manis, kecap asin, gula merah, dan garam. Aduk rata. Tuang air, aduk rata. Kecilkan api, masak hingga air mengering dan bumbu meresap. <br>4. Pembuatan sate matang: Tusuk potongan daging dengan tusuk sate. Sisihkan bumbu untuk olesan. Bakar di atas api sambil diolesi sisa bumbu ungkep. Angkat. Sajikan sate hangat dengan nasi panas, saus kacang dan kuah sup. <br><br>Sate Matang ini bisa ditemukan di salah satu tempat seperti di <a href='https://goo.gl/maps/FTFeUmuVNQp9ySCAA' target='_blank'>Warkop Sudi Mampir</a> di Jl. Medan-Banda Aceh, Desa Keude Matang Glp Dua, Kecamatan Peusangan, Kabupaten Bireuen, Aceh, Indonesia.",16,Plain,red,"Jl. Medan-Banda Aceh, Desa Keude Matang Glp Dua, Kecamatan Peusangan, Kabupaten Bireuen, Aceh, Indonesia.","5,19702051","96,7870203",,,,
